                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.83877,                0.54209,                0.99598,                 0.8664,                0.73016,                0.78999,                0.43353,                 1.6775,                0.88439,                 1.6148,               0.008878,               0.008878,               0.008878
                     36,                0.83365,                0.54962,                0.99084,                0.83202,                0.77778,                0.83202,                0.39434,                 1.8113,                0.86448,                 1.7786,               0.008845,               0.008845,               0.008845
                     37,                0.83557,                 0.5385,                0.99666,                0.82688,                0.79365,                0.78387,                0.37811,                 1.7672,                 0.8989,                 1.7587,               0.008812,               0.008812,               0.008812
                     38,                0.81145,                0.53342,                0.99691,                0.84852,                0.63492,                0.73101,                0.38776,                 1.8296,                  1.053,                 1.7519,               0.008779,               0.008779,               0.008779
                     39,                0.81514,                0.52941,                0.98358,                0.83334,                0.71433,                0.77267,                0.38697,                 1.8207,                 0.9594,                 1.7537,               0.008746,               0.008746,               0.008746
                     40,                0.81216,                0.51318,                0.99081,                0.81067,                0.71429,                 0.7491,                0.41325,                 1.7941,                0.97858,                 1.6671,               0.008713,               0.008713,               0.008713
                     41,                0.82219,                0.53348,                0.99535,                0.78135,                0.77778,                0.81458,                0.36902,                 1.8359,                  1.085,                   1.82,                0.00868,                0.00868,                0.00868
                     42,                0.79052,                0.52333,                 0.9825,                0.84999,                0.77778,                 0.8351,                0.41025,                 1.8012,                  0.883,                 1.7034,               0.008647,               0.008647,               0.008647
                     43,                0.79247,                0.52251,                0.98348,                0.70577,                0.84127,                0.81038,                0.36684,                 1.8731,                0.90987,                 1.7623,               0.008614,               0.008614,               0.008614
                     44,                0.78239,                0.51009,                0.97261,                 0.8922,                0.74603,                0.82611,                0.40278,                 1.7702,                0.91919,                  1.729,               0.008581,               0.008581,               0.008581
                     45,                0.76257,                  0.507,                0.96935,                0.79148,                0.78328,                0.77835,                0.39931,                 1.8235,                0.94271,                 1.8314,               0.008548,               0.008548,               0.008548
                     46,                0.75379,                0.49725,                0.96022,                0.85472,                0.73016,                0.79618,                0.43894,                  1.665,                0.90879,                 1.6816,               0.008515,               0.008515,               0.008515
                     47,                0.73877,                 0.4909,                0.95533,                0.84501,                0.79365,                0.82737,                0.42009,                 1.6916,                0.90351,                 1.6418,               0.008482,               0.008482,               0.008482
                     48,                0.73874,                0.49085,                0.94511,                0.85905,                0.69841,                0.75922,                0.40045,                 1.8154,                0.91954,                 1.6351,               0.008449,               0.008449,               0.008449
                     49,                0.75289,                0.49814,                0.95594,                0.88417,                 0.7619,                0.80673,                0.40711,                 1.7607,                0.90451,                 1.6172,               0.008416,               0.008416,               0.008416
